# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
0.2001 nan nan nan nan 7.45369e+15 nan nan
0.20015 nan nan nan nan 3.27688e+15 nan nan
0.2002 nan nan nan nan 1.81851e+11 nan nan
0.20025 nan nan nan nan 1.16237e+15 nan nan
0.2003 nan nan nan nan 9.23603e+10 nan nan
0.20035 nan nan nan nan 1.04906e+12 nan nan
0.2004 nan nan nan nan 7.61307e+14 nan nan
0.20045 nan nan nan nan 2.22654e+13 nan nan
0.2005 nan nan nan nan 1.39022e+21 nan nan
0.20055 nan nan nan nan 5.57184e+13 nan nan
0.2006 nan nan nan nan 2.80477e+22 nan nan
0.20065 nan nan nan nan 1.71553e+12 nan nan
0.2007 nan nan nan nan 1.67743e+21 nan nan
0.20075 nan nan nan nan 4.84785e+15 nan nan
0.2008 nan nan nan nan 2.36185e+16 nan nan
0.20085 nan nan nan nan 1.7588e+15 nan nan
0.2009 nan nan nan nan 1.2152e+14 nan nan
0.20095 nan nan nan nan 1.56076e+12 nan nan
0.201 nan nan nan nan 5.31916e+12 nan nan
0.20105 nan nan nan nan 1.31595e+12 nan nan
0.2011 nan nan nan nan 3.70702e+16 nan nan
0.20115 nan nan nan nan 1.72652e+13 nan nan
0.2012 nan nan nan nan 5.16107e+12 nan nan
0.20125 nan nan nan nan 1.90688e+14 nan nan
0.2013 nan nan nan nan 3.49453e+14 nan nan
0.20135 nan nan nan nan 7.44516e+13 nan nan
0.2014 nan nan nan nan 5.87779e+10 nan nan
0.20145 nan nan nan nan 4.22228e+16 nan nan
0.2015 nan nan nan nan 2.8688e+16 nan nan
0.20155 nan nan nan nan 4.71718e+13 nan nan
0.2016 nan nan nan nan 5.42557e+15 nan nan
0.20165 nan nan nan nan 8.71172e+13 nan nan
0.2017 nan nan nan nan 1.00171e+12 nan nan
0.20175 nan nan nan nan 5.61809e+13 nan nan
0.2018 nan nan nan nan 2.0164e+14 nan nan
0.20185 nan nan nan nan 8.16259e+16 nan nan
0.2019 nan nan nan nan 4.63554e+12 nan nan
