# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
2.997 0.143421 0.145461 0.138248 11782.6 10099.9 21882.5 4.74148
2.998 0.139636 0.148402 0.139536 11747.6 10132.4 21879.9 4.72739
2.999 0.139569 0.14334 0.136929 11695.9 10195.9 21891.7 4.70658
3 0.133178 0.137686 0.142214 11624 10265.3 21889.3 4.67767
3.001 0.132822 0.136272 0.138582 11537.1 10371.3 21908.5 4.64271
3.002 0.130805 0.133861 0.134495 11448.5 10468.6 21917.1 4.60704
3.003 0.128366 0.130549 0.132689 11373.9 10536.1 21910.1 4.57703
3.004 0.135114 0.129468 0.132696 11325.3 10590.8 21916.1 4.55745
3.005 0.133686 0.128965 0.13404 11308.1 10604.4 21912.5 4.55054
3.006 0.131729 0.129673 0.137483 11321.9 10617.8 21939.7 4.5561
3.007 0.136938 0.132662 0.135459 11361 10585.7 21946.7 4.57183
3.008 0.1411 0.131696 0.13366 11417.5 10520.8 21938.3 4.59458
3.009 0.143866 0.128762 0.131326 11485.3 10460.2 21945.5 4.62187
3.01 0.145954 0.131874 0.129176 11560.7 10390.7 21951.5 4.65221
3.011 0.142447 0.128492 0.130221 11640 10305.5 21945.5 4.6841
3.012 0.136477 0.131495 0.140834 11717.4 10233.9 21951.3 4.71526
3.013 0.134794 0.132797 0.146483 11785.7 10181.1 21966.7 4.74273
3.014 0.129857 0.133917 0.149379 11837.6 10142.1 21979.7 4.76361
3.015 0.125014 0.137305 0.146406 11867.8 10104.7 21972.5 4.77579
3.016 0.12848 0.133933 0.143102 11874.3 10114.9 21989.2 4.7784
3.017 0.132239 0.131389 0.148176 11858.8 10118.7 21977.4 4.77214
3.018 0.135351 0.127336 0.148978 11826.2 10143.1 21969.3 4.75904
3.019 0.136947 0.132287 0.150596 11783.8 10188 21971.8 4.74196
3.02 0.133386 0.134812 0.15117 11739.4 10217.1 21956.5 4.7241
3.021 0.127161 0.13512 0.154262 11700.4 10261 21961.4 4.70842
3.022 0.12625 0.135398 0.15156 11672.6 10286.5 21959.1 4.69723
3.023 0.131187 0.140844 0.153112 11659.5 10293.6 21953.2 4.69197
3.024 0.12937 0.143267 0.154001 11662.1 10293.4 21955.5 4.69301
3.025 0.127157 0.149061 0.149617 11678.6 10267.3 21945.9 4.69964
3.026 0.126899 0.149744 0.14788 11705.2 10240.8 21946 4.71035
3.027 0.12613 0.151241 0.144611 11737.3 10222.9 21960.2 4.72324
3.028 0.13062 0.149433 0.141551 11770.4 10170.7 21941.1 4.73657
3.029 0.128378 0.152333 0.136677 11801.4 10131.3 21932.7 4.74905
3.03 0.124415 0.153669 0.133828 11828.9 10096.7 21925.6 4.76013
3.031 0.120174 0.154771 0.131085 11853.3 10055.7 21909 4.76992
3.032 0.117871 0.153275 0.132498 11875.5 10046.6 21922.1 4.77887
3.033 0.12013 0.150051 0.133923 11896.7 10042 21938.7 4.78742
3.034 0.115585 0.150976 0.13168 11917.3 10034.4 21951.7 4.7957
3.035 0.115924 0.152544 0.133139 11936.3 9988.04 21924.3 4.80334
3.036 0.119781 0.156383 0.129765 11951.9 9962.9 21914.8 4.80962
3.037 0.120666 0.15941 0.126909 11962.3 9952.58 21914.9 4.8138
3.038 0.118438 0.159424 0.125578 11965.9 9951.3 21917.2 4.81527
3.039 0.117778 0.164273 0.123393 11962.4 9952.35 21914.8 4.81386
3.04 0.120763 0.161053 0.124901 11951.9 9990.25 21942.2 4.80963
3.041 0.127816 0.161818 0.120021 11934.4 10011.3 21945.7 4.80259
3.042 0.130674 0.162045 0.120031 11909.1 10061.4 21970.5 4.79238
3.043 0.133577 0.169695 0.115656 11873.6 10081.3 21955 4.77812
3.044 0.135671 0.175255 0.119481 11825.1 10134.6 21959.7 4.7586
3.045 0.133807 0.174362 0.119812 11760.9 10210.6 21971.5 4.73276
3.046 0.131814 0.173738 0.121988 11680.3 10281.8 21962.1 4.70033
3.047 0.129473 0.173572 0.124584 11586.1 10359.5 21945.6 4.66242
3.048 0.129769 0.170923 0.124083 11485.6 10468.4 21954 4.62198
