# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
0.0559 nan nan nan nan 4.47658e+13 nan nan
0.05595 nan nan nan nan 8.43693e+11 nan nan
0.056 nan nan nan nan 1.88971e+17 nan nan
0.05605 nan nan nan nan 9.10571e+13 nan nan
0.0561 nan nan nan nan 2.59951e+14 nan nan
0.05615 nan nan nan nan 2.28112e+12 nan nan
0.0562 nan nan nan nan 4.47212e+12 nan nan
0.05625 nan nan nan nan 3.14446e+13 nan nan
0.0563 nan nan nan nan 2.01709e+11 nan nan
0.05635 nan nan nan nan 2.75398e+11 nan nan
0.0564 nan nan nan nan 2.25374e+12 nan nan
0.05645 nan nan nan nan 9.16009e+12 nan nan
0.0565 nan nan nan nan 3.72796e+13 nan nan
0.05655 nan nan nan nan 1.54587e+19 nan nan
0.0566 nan nan nan nan 1.41311e+12 nan nan
0.05665 nan nan nan nan 4.69232e+16 nan nan
0.0567 nan nan nan nan 1.23018e+12 nan nan
0.05675 nan nan nan nan 3.05706e+12 nan nan
0.0568 nan nan nan nan 4.01803e+12 nan nan
0.05685 nan nan nan nan 2.93471e+16 nan nan
0.0569 nan nan nan nan 2.96988e+12 nan nan
0.05695 nan nan nan nan 4.25669e+12 nan nan
0.057 nan nan nan nan 3.14623e+14 nan nan
0.05705 nan nan nan nan 2.34121e+13 nan nan
0.0571 nan nan nan nan 2.43765e+17 nan nan
0.05715 nan nan nan nan 3.46933e+14 nan nan
0.0572 nan nan nan nan 1.02142e+15 nan nan
0.05725 nan nan nan nan 3.41247e+16 nan nan
0.0573 nan nan nan nan 4.23591e+19 nan nan
0.05735 nan nan nan nan 1.35236e+16 nan nan
0.0574 nan nan nan nan 2.84633e+13 nan nan
0.05745 nan nan nan nan 1.83442e+12 nan nan
0.0575 nan nan nan nan 9.28765e+16 nan nan
0.05755 nan nan nan nan 3.32806e+14 nan nan
0.0576 nan nan nan nan 3.91227e+15 nan nan
0.05765 nan nan nan nan 2.2688e+12 nan nan
0.0577 nan nan nan nan 2.3977e+12 nan nan
0.05775 nan nan nan nan 3.21816e+15 nan nan
0.0578 nan nan nan nan 2.52767e+14 nan nan
0.05785 nan nan nan nan 2.42461e+15 nan nan
0.0579 nan nan nan nan 2.62814e+16 nan nan
0.05795 nan nan nan nan 1.01969e+18 nan nan
0.058 nan nan nan nan 3.72012e+13 nan nan
0.05805 nan nan nan nan 2.30405e+12 nan nan
0.0581 nan nan nan nan 1.75479e+11 nan nan
0.05815 nan nan nan nan 5.64086e+16 nan nan
0.0582 nan nan nan nan 1.352e+12 nan nan
0.05825 nan nan nan nan 1.56483e+12 nan nan
0.0583 nan nan nan nan 1.25593e+12 nan nan
0.05835 nan nan nan nan 6.27663e+15 nan nan
0.0584 nan nan nan nan 1.9183e+13 nan nan
0.05845 nan nan nan nan 3.3189e+13 nan nan
0.0585 nan nan nan nan 3.70346e+15 nan nan
0.05855 nan nan nan nan 1.95577e+16 nan nan
0.0586 nan nan nan nan 1.40183e+13 nan nan
0.05865 nan nan nan nan 2.40002e+12 nan nan
0.0587 nan nan nan nan 3.57458e+17 nan nan
0.05875 nan nan nan nan 1.21703e+13 nan nan
0.0588 nan nan nan nan 1.0853e+19 nan nan
0.05885 nan nan nan nan 5.79856e+10 nan nan
0.0589 nan nan nan nan 2.21248e+14 nan nan
0.05895 nan nan nan nan 1.14529e+16 nan nan
0.059 nan nan nan nan 8.97067e+17 nan nan
0.05905 nan nan nan nan 1.12153e+12 nan nan
0.0591 nan nan nan nan 1.76413e+12 nan nan
0.05915 nan nan nan nan 4.73996e+12 nan nan
0.0592 nan nan nan nan 2.93735e+12 nan nan
0.05925 nan nan nan nan 2.69623e+15 nan nan
0.0593 nan nan nan nan 1.95513e+21 nan nan
0.05935 nan nan nan nan 1.56046e+14 nan nan
0.0594 nan nan nan nan 1.75464e+13 nan nan
0.05945 nan nan nan nan 1.93936e+12 nan nan
0.0595 nan nan nan nan 7.04823e+13 nan nan
0.05955 nan nan nan nan 5.5432e+13 nan nan
0.0596 nan nan nan nan 2.41914e+14 nan nan
0.05965 nan nan nan nan 3.07504e+13 nan nan
0.0597 nan nan nan nan 3.34419e+14 nan nan
0.05975 nan nan nan nan 2.18601e+13 nan nan
0.0598 nan nan nan nan 2.63511e+13 nan nan
0.05985 nan nan nan nan 3.24762e+12 nan nan
0.0599 nan nan nan nan 7.68781e+17 nan nan
0.05995 nan nan nan nan 1.11056e+15 nan nan
0.06 nan nan nan nan 5.15281e+13 nan nan
0.06005 nan nan nan nan 2.56002e+14 nan nan
0.0601 nan nan nan nan 6.46414e+17 nan nan
0.06015 nan nan nan nan 6.39391e+11 nan nan
0.0602 nan nan nan nan 6.59101e+13 nan nan
0.06025 nan nan nan nan 5.37809e+11 nan nan
0.0603 nan nan nan nan 2.99361e+14 nan nan
0.06035 nan nan nan nan 4.13107e+13 nan nan
0.0604 nan nan nan nan 2.73943e+13 nan nan
0.06045 nan nan nan nan 6.68249e+11 nan nan
0.0605 nan nan nan nan 5.09297e+13 nan nan
0.06055 nan nan nan nan 1.86972e+14 nan nan
0.0606 nan nan nan nan 2.44034e+14 nan nan
0.06065 nan nan nan nan 2.23793e+11 nan nan
0.0607 nan nan nan nan 2.14463e+12 nan nan
0.06075 nan nan nan nan 4.21143e+13 nan nan
0.0608 nan nan nan nan 8.55377e+11 nan nan
0.06085 nan nan nan nan 5.12353e+12 nan nan
0.0609 nan nan nan nan 1.22324e+15 nan nan
0.06095 nan nan nan nan 8.00237e+11 nan nan
0.061 nan nan nan nan 4.59022e+11 nan nan
