#    t(1)      varx(2)      vary(3)      varz(3)
2.5665 0.0575678 0.0627155 0.0707001
2.567 0.0579902 0.0630584 0.0709821
2.5675 0.0584114 0.0634075 0.0712526
2.568 0.0588319 0.0637651 0.0715119
2.5685 0.0592515 0.0641336 0.0717598
2.569 0.0596708 0.0645151 0.071997
2.5695 0.0600893 0.0649115 0.072224
2.57 0.0605067 0.065324 0.0724415
2.5705 0.0609222 0.0657538 0.0726504
2.571 0.061335 0.0662011 0.0728522
2.5715 0.0617431 0.0666663 0.0730481
2.572 0.0621455 0.0671498 0.0732397
2.5725 0.0625404 0.0676517 0.0734283
2.573 0.0629267 0.0681722 0.0736148
2.5735 0.0633037 0.0687116 0.0738
2.574 0.0636711 0.0692709 0.0739843
2.5745 0.0640293 0.0698502 0.0741675
2.575 0.0643794 0.0704498 0.0743493
2.5755 0.0647226 0.07107 0.0745297
2.576 0.0650601 0.0717105 0.074708
2.5765 0.0653937 0.0723706 0.0748845
2.577 0.0657247 0.0730492 0.0750595
2.5775 0.0660549 0.0737447 0.0752337
2.578 0.0663854 0.074455 0.075408
2.5785 0.066718 0.0751782 0.0755838
2.579 0.0670535 0.075911 0.0757621
2.5795 0.0673931 0.0766517 0.0759445
2.58 0.0677381 0.0773965 0.0761319
2.5805 0.0680888 0.0781434 0.0763254
2.581 0.0684466 0.0788892 0.0765259
2.5815 0.0688112 0.0796314 0.0767337
2.582 0.0691838 0.0803674 0.076949
2.5825 0.0695641 0.081095 0.0771714
2.583 0.0699519 0.0818116 0.0774004
2.5835 0.0703472 0.082516 0.0776352
2.584 0.0707491 0.0832063 0.0778754
2.5845 0.0711574 0.0838811 0.0781204
2.585 0.0715714 0.08454 0.0783701
2.5855 0.0719903 0.0851822 0.0786242
2.586 0.0724142 0.0858076 0.078883
2.5865 0.0728423 0.0864157 0.0791467
2.587 0.0732744 0.0870069 0.0794153
2.5875 0.0737102 0.0875811 0.079689
2.588 0.0741498 0.0881389 0.079968
2.5885 0.0745931 0.0886812 0.0802521
2.589 0.07504 0.089208 0.0805413
2.5895 0.0754906 0.0897204 0.0808353
2.59 0.075945 0.0902191 0.0811339
2.5905 0.0764033 0.0907038 0.0814366
2.591 0.076865 0.0911747 0.0817425
2.5915 0.07733 0.0916318 0.0820511
2.592 0.0777984 0.0920746 0.0823616
2.5925 0.07827 0.0925032 0.0826729
2.593 0.0787446 0.0929184 0.0829844
2.5935 0.0792227 0.0933206 0.0832955
2.594 0.0797039 0.0937105 0.0836057
2.5945 0.0801884 0.0940892 0.0839151
2.595 0.0806757 0.094457 0.0842239
2.5955 0.0811661 0.0948148 0.0845323
2.596 0.0816586 0.0951634 0.0848415
2.5965 0.0821527 0.0955032 0.0851521
2.597 0.0826481 0.0958346 0.0854651
2.5975 0.0831443 0.0961586 0.0857812
2.598 0.0836405 0.0964755 0.0861017
2.5985 0.0841365 0.096786 0.0864272
2.599 0.0846321 0.0970906 0.0867588
2.5995 0.0851267 0.09739 0.0870969
2.6 0.0856197 0.0976848 0.0874425
2.6005 0.0861107 0.0979753 0.0877963
2.601 0.0865995 0.098262 0.0881586
2.6015 0.0870849 0.098546 0.0885291
2.602 0.0875666 0.0988279 0.0889079
2.6025 0.0880446 0.0991078 0.0892947
2.603 0.0885179 0.0993874 0.0896895
2.6035 0.0889865 0.0996675 0.0900909
2.604 0.0894496 0.0999486 0.0904991
2.6045 0.0899073 0.100232 0.0909129
2.605 0.0903585 0.100518 0.0913315
2.6055 0.0908035 0.100808 0.0917536
2.606 0.0912419 0.101103 0.0921781
2.6065 0.0916733 0.101403 0.0926035
2.607 0.0920979 0.10171 0.0930283
2.6075 0.0925161 0.102023 0.0934509
2.608 0.0929277 0.102344 0.0938692
2.6085 0.0933332 0.102674 0.0942825
2.609 0.0937328 0.103011 0.0946892
2.6095 0.0941266 0.103359 0.0950885
2.61 0.094515 0.103716 0.0954803
2.6105 0.0948978 0.104083 0.095864
2.611 0.0952757 0.104461 0.0962408
2.6115 0.0956494 0.104851 0.0966113
2.612 0.096019 0.105252 0.0969762
2.6125 0.0963856 0.105665 0.0973367
2.613 0.0967498 0.106091 0.0976947
2.6135 0.0971121 0.106528 0.0980513
2.614 0.0974724 0.106976 0.0984079
2.6145 0.0978301 0.107433 0.0987657
2.615 0.0981851 0.107898 0.0991266
2.6155 0.0985364 0.108368 0.0994917
2.616 0.0988819 0.108842 0.0998624
2.6165 0.0992207 0.109315 0.10024
2.617 0.0995507 0.109786 0.100625
2.6175 0.0998705 0.110253 0.10102
2.618 0.100178 0.110712 0.101424
2.6185 0.100473 0.111163 0.10184
2.619 0.100753 0.111604 0.102266
2.6195 0.101019 0.112034 0.102703
2.62 0.10127 0.112453 0.10315
2.6205 0.101507 0.11286 0.103607
2.621 0.101733 0.113256 0.104071
2.6215 0.101948 0.113642 0.104542
2.622 0.102154 0.114017 0.105017
2.6225 0.102356 0.114381 0.105494
2.623 0.102555 0.114737 0.10597
2.6235 0.102755 0.115085 0.106443
2.624 0.10296 0.115425 0.106912
2.6245 0.103172 0.115758 0.107373
2.625 0.103395 0.116086 0.107827
2.6255 0.103631 0.116411 0.108272
2.626 0.103884 0.116733 0.108707
2.6265 0.104155 0.117053 0.109133
2.627 0.104445 0.117374 0.10955
2.6275 0.104757 0.117695 0.109959
2.628 0.105091 0.118018 0.11036
2.6285 0.105447 0.118344 0.110755
2.629 0.105825 0.118672 0.111144
