#    t(1)      varx(2)      vary(3)      varz(3)
3.494 0 0 0
3.4945 3.93692e-06 3.93964e-06 3.92942e-06
3.495 3.53887e-05 3.54599e-05 3.51934e-05
3.4955 9.80445e-05 9.83471e-05 9.72501e-05
3.496 0.000191365 0.000192102 0.00018949
3.4965 0.000314485 0.000315845 0.000311126
3.497 0.00046624 0.000468398 0.000461097
3.4975 0.000645227 0.00064841 0.000638101
3.498 0.000849939 0.000854531 0.00084053
3.4985 0.00107889 0.00108559 0.00106665
3.499 0.00133071 0.00134052 0.0013147
3.4995 0.00160415 0.00161847 0.001583
3.5 0.00189814 0.00191866 0.00187004
3.5005 0.00221171 0.00224037 0.00217445
3.501 0.00254398 0.0025829 0.00249509
3.5015 0.00289437 0.00294553 0.00283101
3.502 0.00326228 0.0033274 0.00318138
3.5025 0.00364736 0.00372757 0.0035456
3.503 0.00404932 0.0041451 0.00392306
3.5035 0.00446769 0.00457879 0.00431308
3.504 0.00490199 0.00502742 0.00471493
3.5045 0.00535137 0.00548963 0.00512761
3.505 0.00581489 0.00596397 0.00554996
3.5055 0.00629123 0.006449 0.00598051
3.506 0.00677908 0.00694329 0.00641776
3.5065 0.00727696 0.00744554 0.00686006
3.507 0.00778355 0.00795453 0.00730575
3.5075 0.00829773 0.00846925 0.00775361
3.508 0.00881859 0.00898855 0.00820242
3.5085 0.00934529 0.0095117 0.00865152
3.509 0.00987744 0.0100378 0.00910048
3.5095 0.0104146 0.0105661 0.00954923
3.51 0.0109564 0.0110958 0.00999784
3.5105 0.0115026 0.0116263 0.0104464
3.511 0.012053 0.0121569 0.0108954
3.5115 0.0126072 0.012687 0.0113447
3.512 0.0131651 0.013216 0.0117946
3.5125 0.0137263 0.0137435 0.0122452
3.513 0.0142906 0.0142691 0.0126965
3.5135 0.0148574 0.0147925 0.0131489
3.514 0.0154263 0.0153136 0.0136026
3.5145 0.0159965 0.015832 0.0140583
3.515 0.0165672 0.0163477 0.0145164
3.5155 0.0171371 0.0168605 0.0149777
3.516 0.0177052 0.0173706 0.0154431
3.5165 0.01827 0.0178778 0.015913
3.517 0.0188305 0.0183821 0.0163881
3.5175 0.0193853 0.0188838 0.0168689
3.518 0.0199338 0.0193828 0.0173554
3.5185 0.0204749 0.019879 0.017848
3.519 0.021008 0.0203722 0.0183463
3.5195 0.0215323 0.0208618 0.01885
3.52 0.0220471 0.021347 0.0193585
3.5205 0.0225513 0.0218267 0.0198715
3.521 0.0230443 0.0222997 0.0203879
3.5215 0.0235253 0.0227647 0.0209072
3.522 0.0239942 0.0232213 0.021429
3.5225 0.0244508 0.0236689 0.0219527
3.523 0.0248953 0.0241077 0.0224778
3.5235 0.0253281 0.0245378 0.0230038
3.524 0.0257495 0.0249598 0.0235303
3.5245 0.0261595 0.0253742 0.0240569
3.525 0.0265585 0.0257813 0.024583
3.5255 0.0269459 0.0261818 0.025108
3.526 0.0273213 0.0265758 0.0256312
3.5265 0.0276845 0.0269643 0.0261523
3.527 0.0280351 0.0273479 0.0266705
3.5275 0.0283733 0.0277276 0.027186
3.528 0.0286992 0.0281047 0.0276984
3.5285 0.029014 0.0284806 0.0282078
3.529 0.0293187 0.028857 0.0287147
3.5295 0.029615 0.0292356 0.0292193
3.53 0.0299046 0.0296185 0.0297222
3.5305 0.0301895 0.0300073 0.0302238
3.531 0.0304713 0.0304039 0.0307248
