# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
1.9985 0.200345 0.197071 0.19308 11444.5 10653.1 22097.6 4.60542
1.9995 0.198712 0.195194 0.194307 11404.5 10690.7 22095.1 4.58932
2.0005 0.202089 0.19563 0.193644 11369.8 10728.8 22098.6 4.57538
2.0015 0.201751 0.194904 0.195548 11337.5 10754 22091.4 4.56235
2.0025 0.20283 0.191643 0.199949 11304.7 10777.2 22081.8 4.54916
2.0035 0.202647 0.189527 0.199842 11270.2 10805.7 22075.9 4.53529
2.0045 0.205409 0.194696 0.204233 11236 10848.3 22084.3 4.52152
2.0055 0.20183 0.195401 0.205583 11207.9 10888.5 22096.4 4.51022
2.0065 0.197742 0.199044 0.211158 11195.5 10893.8 22089.3 4.50525
2.0075 0.193907 0.200864 0.208032 11210 10893.7 22103.7 4.51107
2.0085 0.198579 0.206046 0.207819 11260.5 10836.1 22096.6 4.53138
2.0095 0.200461 0.204562 0.206949 11350.8 10758.8 22109.5 4.56771
2.0105 0.196301 0.197779 0.208515 11477.6 10621.1 22098.8 4.61877
2.0115 0.197036 0.195898 0.211584 11631.6 10464.7 22096.2 4.68071
2.0125 0.197008 0.196618 0.212948 11799.6 10310.7 22110.3 4.74832
2.0135 0.199379 0.201426 0.214182 11968.8 10143.8 22112.6 4.8164
2.0145 0.201548 0.20186 0.219065 12128.1 9962.95 22091.1 4.88054
2.0155 0.197089 0.203253 0.219914 12269.4 9802.64 22072 4.93737
2.0165 0.194964 0.206496 0.218869 12386.2 9676.23 22062.5 4.9844
2.0175 0.190757 0.20809 0.216022 12474.4 9586.86 22061.2 5.01987
2.0185 0.196264 0.206793 0.214919 12531 9548.07 22079 5.04264
2.0195 0.193489 0.211269 0.21113 12555.1 9535.94 22091 5.05234
2.0205 0.191054 0.215568 0.208833 12547.7 9556.42 22104.1 5.04936
2.0215 0.189848 0.217011 0.209355 12511.8 9590.01 22101.8 5.03492
2.0225 0.186689 0.218001 0.210827 12451.9 9664.21 22116.2 5.01084
2.0235 0.183199 0.219458 0.211456 12373.9 9715.06 22088.9 4.97942
2.0245 0.178547 0.220603 0.205287 12284.6 9798.57 22083.1 4.94349
2.0255 0.178445 0.222949 0.206481 12192.2 9895.73 22087.9 4.9063
2.0265 0.178012 0.218759 0.209672 12105.8 9960.94 22066.7 4.87153
2.0275 0.177498 0.218451 0.211809 12033.6 10052.2 22085.8 4.84249
2.0285 0.177042 0.221647 0.215777 11980.3 10094.7 22075 4.82105
2.0295 0.177369 0.224721 0.214596 11945.6 10155.5 22101.1 4.80708
2.0305 0.179621 0.222185 0.217951 11924.3 10156.5 22080.8 4.79851
2.0315 0.187116 0.222939 0.221213 11908.8 10181.3 22090.1 4.79227
2.0325 0.184733 0.219178 0.217893 11891.6 10192.5 22084.1 4.78536
2.0335 0.182664 0.222052 0.221012 11867.8 10228.2 22096 4.77578
2.0345 0.182772 0.225134 0.218595 11835.8 10241.2 22077 4.7629
2.0355 0.186749 0.225854 0.220451 11797.4 10272.6 22069.9 4.74743
2.0365 0.184917 0.227325 0.22153 11756.9 10316.7 22073.6 4.73114
2.0375 0.185339 0.227604 0.22093 11720 10351.4 22071.4 4.71631
2.0385 0.190794 0.225009 0.220211 11692.9 10382.1 22075 4.70538
2.0395 0.194527 0.225097 0.220874 11680.7 10389.6 22070.3 4.7005
2.0405 0.191971 0.225099 0.216194 11687 10398.7 22085.7 4.70303
2.0415 0.191874 0.222288 0.211671 11712.3 10381.7 22094 4.71319
2.0425 0.190401 0.217052 0.213772 11753.3 10327.6 22080.9 4.7297
2.0435 0.191945 0.215423 0.221439 11803.7 10256.8 22060.5 4.74997
2.0445 0.190739 0.20994 0.224035 11854.8 10198.5 22053.3 4.77056
2.0455 0.191458 0.208047 0.227163 11898.2 10152.6 22050.8 4.78802
2.0465 0.192779 0.209428 0.224365 11926.8 10119.2 22046 4.79952
2.0475 0.18673 0.213737 0.222449 11936.8 10110.4 22047.2 4.80353
2.0485 0.180802 0.215531 0.223967 11928.1 10115.6 22043.7 4.80005
2.0495 0.181548 0.215478 0.223009 11904.4 10144.1 22048.5 4.7905
2.0505 0.187153 0.213012 0.225237 11871.6 10164 22035.6 4.77729
2.0515 0.185597 0.216833 0.225274 11835.9 10197.4 22033.3 4.76292
2.0525 0.187553 0.214719 0.223034 11801.9 10258.7 22060.6 4.74926
2.0535 0.189156 0.214793 0.223707 11771.4 10279.8 22051.2 4.737
2.0545 0.185076 0.21906 0.220478 11743.5 10305.2 22048.7 4.72577
2.0555 0.189555 0.218966 0.217595 11715.8 10324.5 22040.4 4.71462
2.0565 0.194905 0.215465 0.219876 11685.9 10345 22030.9 4.70256
2.0575 0.195839 0.210606 0.222676 11652.3 10386.9 22039.2 4.68906
2.0585 0.198504 0.207965 0.222767 11615.1 10421.7 22036.8 4.67408
2.0595 0.203756 0.208665 0.216565 11575.4 10457.8 22033.2 4.65811
2.0605 0.204867 0.214589 0.215327 11535.2 10515.9 22051.1 4.64193
2.0615 0.198383 0.219034 0.21361 11496.8 10533.1 22029.8 4.62647
2.0625 0.191858 0.220856 0.212508 11462.7 10570.7 22033.4 4.61276
2.0635 0.188835 0.223156 0.211001 11435.9 10597.6 22033.5 4.60196
2.0645 0.192256 0.219707 0.210877 11419.5 10630.7 22050.2 4.59536
2.0655 0.190848 0.217535 0.211869 11416.6 10624.1 22040.7 4.59419
2.0665 0.190427 0.210909 0.21581 11428.7 10604.8 22033.6 4.59909
2.0675 0.187437 0.208734 0.217777 11454.7 10575.3 22030 4.60955
2.0685 0.187168 0.205777 0.218923 11489.9 10555.4 22045.3 4.62371
2.0695 0.185533 0.205091 0.217064 11528.2 10524 22052.3 4.63913
2.0705 0.184149 0.20216 0.21498 11564 10504.9 22068.9 4.65352
2.0715 0.18089 0.196394 0.216176 11593.5 10482.5 22076 4.6654
2.0725 0.183651 0.195362 0.215606 11615.4 10473.7 22089.1 4.67419
2.0735 0.184031 0.194542 0.217959 11629.3 10446.7 22076 4.6798
2.0745 0.184059 0.195925 0.215213 11635.5 10452.5 22087.9 4.68228
2.0755 0.187937 0.197821 0.21394 11634.1 10446.7 22080.8 4.68174
2.0765 0.192355 0.194326 0.213337 11626.4 10450.8 22077.3 4.67865
2.0775 0.198392 0.191767 0.211342 11615.6 10472.5 22088.1 4.6743
2.0785 0.198746 0.19103 0.212969 11606.7 10494.5 22101.2 4.67072
2.0795 0.199226 0.190977 0.21551 11605.7 10499.1 22104.8 4.6703
2.0805 0.202528 0.188212 0.221402 11618.3 10496.1 22114.5 4.67538
2.0815 0.209316 0.190472 0.223066 11649.3 10502 22151.3 4.68783
2.0825 0.209059 0.19073 0.227043 11701.2 10447.7 22148.9 4.70873
2.0835 0.207012 0.188779 0.22496 11774.2 10366.3 22140.5 4.73813
2.0845 0.202011 0.181784 0.220993 11865 10259.9 22125 4.77466
2.0855 0.203942 0.181355 0.225352 11966.7 10135.5 22102.3 4.81559
2.0865 0.205097 0.178595 0.222213 12070.2 10024.8 22095 4.85724
2.0875 0.204449 0.178314 0.216555 12165.5 9935.27 22100.8 4.89557
2.0885 0.201619 0.178324 0.215757 12243.2 9844.42 22087.6 4.92683
2.0895 0.198763 0.173561 0.216354 12295.6 9765.71 22061.3 4.94795
2.0905 0.192336 0.174152 0.215942 12317.8 9738.77 22056.6 4.95687
2.0915 0.190848 0.175451 0.220256 12307.6 9745.58 22053.2 4.95274
2.0925 0.191471 0.174068 0.219684 12266.5 9787.85 22054.4 4.93622
2.0935 0.191805 0.174669 0.218964 12200.7 9826.5 22027.2 4.90973
2.0945 0.195653 0.17642 0.220487 12119.9 9904.93 22024.9 4.87724
2.0955 0.195601 0.180112 0.219658 12034.9 9992.5 22027.4 4.84301
2.0965 0.196711 0.177147 0.220272 11951.9 10068.3 22020.2 4.80962
2.0975 0.19712 0.178395 0.220923 11871.2 10152.5 22023.7 4.77715
2.0985 0.199139 0.174043 0.221421 11789.8 10228 22017.7 4.74437
2.0995 0.195159 0.172473 0.22054 11706 10303.6 22009.5 4.71066
2.1005 0.198409 0.177695 0.220564 11621.6 10386.8 22008.4 4.67671
2.1015 0.204412 0.1822 0.219514 11540.7 10472.5 22013.3 4.64415
2.1025 0.202139 0.189951 0.222954 11467.4 10544.7 22012.1 4.61464
2.1035 0.20709 0.193011 0.21982 11403.8 10609.5 22013.3 4.58904
2.1045 0.206347 0.193689 0.227354 11349.2 10658 22007.2 4.56709
2.1055 0.20906 0.192008 0.230086 11301.5 10716.4 22017.9 4.54787
2.1065 0.209131 0.192207 0.228366 11258.2 10768 22026.2 4.53045
2.1075 0.206318 0.188728 0.227584 11218.7 10818.3 22036.9 4.51455
2.1085 0.204749 0.192209 0.230856 11184.9 10869.9 22054.8 4.50095
2.1095 0.206033 0.191986 0.234113 11161.1 10893.8 22054.9 4.49137
2.1105 0.206915 0.189993 0.233318 11152.9 10910.4 22063.3 4.4881
2.1115 0.212228 0.188751 0.235584 11165.9 10905.8 22071.7 4.49332
2.1125 0.209089 0.187594 0.231133 11202.5 10885.7 22088.2 4.50806
2.1135 0.208475 0.18812 0.236143 11261.2 10844.8 22105.9 4.53165
2.1145 0.212529 0.182547 0.241332 11335.9 10781.8 22117.7 4.56172
2.1155 0.209712 0.182426 0.243125 11418.3 10694.5 22112.8 4.59489
2.1165 0.211293 0.179256 0.240601 11500.3 10627.8 22128.2 4.6279
