# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
0.0015 -0.00228551 0.00408074 -0.000719562 19541.9 3022.53 22564.4 7.86395
0.0025 -0.00744104 0.0035553 -0.000800624 19221.7 3684.3 22906 7.73509
0.0035 -0.00945383 0.00217384 -0.00366688 18679.1 4565.93 23245 7.51675
0.0045 -0.0108481 -0.00253373 -0.00819162 17898.4 5546.94 23445.3 7.20256
0.0055 -0.00465679 -0.00513339 -0.0160108 16869.8 6690.54 23560.3 6.78864
0.0065 -0.0054189 -0.0096308 -0.0164967 15604.4 8000.34 23604.7 6.27943
0.0075 -0.00261915 -0.0110157 -0.0186068 14153 9492.24 23645.3 5.69538
0.0085 -0.00102055 -0.0135854 -0.0159985 12621.3 11021.5 23642.8 5.079
0.0095 -0.00112152 -0.0129961 -0.0124161 11163.9 12523.1 23687 4.49253
0.0105 -0.00560403 -0.0125973 -0.0106472 9949.23 13749.3 23698.6 4.00371
0.0115 -0.00320649 -0.014334 -0.00905097 9108.17 14600.8 23708.9 3.66526
0.0125 -0.00370431 -0.0136206 -0.0071516 8698.78 15026.5 23725.3 3.50052
0.0135 -0.00890183 -0.0109832 -0.0083313 8701.68 15014.1 23715.8 3.50168
0.0145 -0.0149405 -0.00944972 -0.012851 9040.15 14689.5 23729.7 3.63789
0.0155 -0.0198936 -0.0113184 -0.015198 9609.55 14141.1 23750.7 3.86702
0.0165 -0.0203304 -0.0130618 -0.0148089 10303 13457 23760.1 4.14608
0.0175 -0.0221238 -0.0108159 -0.0240414 11027.9 12782.2 23810.1 4.43777
0.0185 -0.0224123 -0.0120268 -0.0244188 11712.8 12093.2 23805.9 4.71338
0.0195 -0.0263109 -0.0131598 -0.0244856 12308.8 11510 23818.8 4.95325
0.0205 -0.0234323 -0.0152483 -0.0255547 12788.4 11069.6 23858 5.14624
0.0215 -0.0206323 -0.0173063 -0.0304093 13143.2 10757.8 23901 5.28902
0.0225 -0.0222764 -0.0192404 -0.0310493 13381 10541.7 23922.7 5.38471
0.0235 -0.0203404 -0.02317 -0.0290275 13521.5 10433.8 23955.3 5.44124
0.0245 -0.0194516 -0.0225558 -0.0260215 13591.2 10346.9 23938.1 5.46931
0.0255 -0.0155587 -0.0192199 -0.0266995 13618.8 10315 23933.8 5.48041
0.0265 -0.0148015 -0.0158362 -0.0286613 13631.3 10298.2 23929.5 5.48544
0.0275 -0.0126019 -0.015451 -0.0288873 13652.7 10289 23941.7 5.49404
0.0285 -0.011404 -0.0162082 -0.028935 13703 10272.2 23975.2 5.5143
0.0295 -0.00769424 -0.0182643 -0.0265727 13796.9 10190.3 23987.3 5.55209
0.0305 -0.0126896 -0.0202365 -0.0317302 13940.4 10077.7 24018.1 5.60982
0.0315 -0.013341 -0.019012 -0.0318265 14128.9 9908.04 24036.9 5.68566
0.0325 -0.0124979 -0.0174403 -0.0300241 14350.5 9711.01 24061.6 5.77487
0.0335 -0.0076189 -0.0141101 -0.0291305 14591.1 9477.45 24068.5 5.87167
0.0345 -0.0108652 -0.0178237 -0.027616 14837.7 9252.09 24089.8 5.97092
0.0355 -0.0119429 -0.019897 -0.0294843 15080.4 9015.14 24095.5 6.06857
0.0365 -0.0102034 -0.0243278 -0.0273824 15311.3 8793.81 24105.1 6.16147
0.0375 -0.0065279 -0.0230479 -0.0261989 15523.9 8597.72 24121.6 6.24704
0.0385 -0.00685024 -0.0231967 -0.0305972 15713 8377.71 24090.7 6.32313
0.0395 -0.00356388 -0.0229182 -0.0288987 15873.8 8216.72 24090.6 6.38786
0.0405 0.000380516 -0.0230632 -0.0282931 16003.1 8097 24100.1 6.43987
0.0415 0.00403309 -0.0231566 -0.0256505 16098.4 8009.91 24108.3 6.47823
0.0425 0.00415897 -0.0208869 -0.0300651 16159.3 7953.71 24113 6.50273
0.0435 0.00614071 -0.0169559 -0.0257554 16187.1 7940.27 24127.4 6.51392
0.0445 0.00133133 -0.0216765 -0.0197978 16185.7 7925.13 24110.8 6.51336
0.0455 -0.000242233 -0.0266891 -0.0194974 16161.8 7952.71 24114.5 6.50373
0.0465 0.00018692 -0.0305915 -0.0256009 16123.6 7966.09 24089.7 6.48837
0.0475 0.00495911 -0.0363383 -0.0256419 16079.2 7995.15 24074.3 6.4705
0.0485 0.00727272 -0.0325446 -0.0303102 16034.3 8048.34 24082.7 6.45244
0.0495 0.0087738 -0.0337768 -0.0321908 15992 8068.15 24060.1 6.43541
0.0505 0.0127697 -0.0353866 -0.033917 15952.7 8105.11 24057.8 6.41958
0.0515 0.0151081 -0.0385852 -0.0348773 15914.8 8161.87 24076.7 6.40435
0.0525 0.0123672 -0.0370135 -0.0426393 15875.3 8214.33 24089.6 6.38845
0.0535 0.0131187 -0.0384822 -0.0415025 15829.9 8257.29 24087.2 6.37018
0.0545 0.017355 -0.0417438 -0.042644 15775.2 8301.31 24076.5 6.34818
0.0555 0.0171833 -0.0469604 -0.0399442 15710.6 8337.42 24048 6.32217
0.0565 0.0156612 -0.0440688 -0.04003 15639.8 8392.86 24032.7 6.29369
0.0575 0.0106611 -0.0415874 -0.0474534 15570.5 8456.41 24026.9 6.26578
0.0585 0.00841045 -0.0383983 -0.0450978 15511.4 8519.19 24030.6 6.24199
0.0595 0.013835 -0.0347943 -0.0467076 15469.2 8553.09 24022.3 6.22502
0.0605 0.0175056 -0.0334039 -0.0529943 15446.1 8577.3 24023.4 6.21573
0.0615 0.0134621 -0.0293736 -0.0568337 15439.9 8578.5 24018.4 6.21326
0.0625 0.0158768 -0.0259171 -0.0561624 15446.2 8571.01 24017.2 6.21577
0.0635 0.0133152 -0.0228462 -0.0550485 15459.3 8565.02 24024.3 6.22103
0.0645 0.0128193 -0.0219154 -0.0586438 15474.1 8527.6 24001.7 6.22699
0.0655 0.0144272 -0.0226455 -0.0614018 15486.3 8527.17 24013.4 6.2319
0.0665 0.0186672 -0.024364 -0.0607495 15492 8528.53 24020.5 6.23421
0.0675 0.0258522 -0.0259604 -0.0619426 15487.7 8542.32 24030 6.23246
0.0685 0.0269871 -0.0285811 -0.0618777 15470.2 8581.16 24051.3 6.22542
0.0695 0.02425 -0.0239406 -0.0608153 15437.5 8606.71 24044.2 6.21228
0.0705 0.022356 -0.0241456 -0.061842 15389.9 8650.77 24040.7 6.19312
0.0715 0.0239334 -0.0263963 -0.0603595 15330.3 8714.05 24044.3 6.16913
0.0725 0.0200634 -0.0313096 -0.0642953 15263.8 8766.35 24030.2 6.14239
0.0735 0.0133095 -0.023438 -0.0625558 15197.1 8835.58 24032.7 6.11553
0.0745 0.00786686 -0.0255151 -0.0618865 15135.8 8879.07 24014.9 6.09086
0.0755 0.00567675 -0.0233674 -0.0556848 15083.7 8935.97 24019.7 6.0699
0.0765 0.00351763 -0.0295053 -0.0556982 15042.2 8954.85 23997 6.0532
0.0775 0.00420809 -0.0303407 -0.0582607 15012.6 8998.7 24011.3 6.04129
0.0785 0.00729418 -0.0262055 -0.0635328 14999.3 9009.75 24009.1 6.03595
0.0795 0.0113873 -0.0284486 -0.0659122 15012.1 8997.1 24009.2 6.04111
0.0805 0.0107541 -0.0318608 -0.0659629 15062.2 8962.62 24024.8 6.06123
